,airline,airlineId,sourceAirport,destAirport,codeShare,stops,equipment,idx_source,idx_dest
0,2B,410,AER,KZN,,0,CR2,1138,3316
1,2B,410,ASF,KZN,,0,CR2,2384,3316
2,2B,410,CEK,KZN,,0,CR2,716,3316
3,2B,410,DME,KZN,,0,CR2,353,3316
4,S7,4329,DME,KZN,,0,319,353,3316
5,U6,5234,DME,KZN,,0,320,353,3316
6,UN,5067,DME,KZN,,0,735,353,3316
7,2B,410,EGO,KZN,,0,CR2,2047,3316
8,2B,410,LED,KZN,,0,CR2,2913,3316
9,FV,641,LED,KZN,,0,A81,2913,3316
10,SU,130,LED,KZN,,0,A81,2913,3316
11,2B,410,SVX,KZN,,0,CR2,948,3316
12,FZ,14485,DWC,KZN,,0,73H,1840,3316
13,HY,5281,FEG,KZN,,0,320,2225,3316
14,HY,5281,SKD,KZN,,0,320,1963,3316
15,UR,15814,UFA,KZN,,0,AT7,3219,3316
16,8Q,3788,AYT,KZN,,0,321,704,3316
17,SU,130,SVO,KZN,,0,320 319 SU9 321,1300,3316
18,KC,1006,ALA,KZN,,0,E90,2348,3316
19,SZ,10122,DYU,KZN,,0,737,244,3316
20,U6,5234,DYU,KZN,,0,320,244,3316
21,YK,1943,FRU,KZN,,0,146,673,3316
22,TK,4951,IST,KZN,,0,738 319,1462,3316
23,SZ,10122,LBD,KZN,,0,737,1939,3316
24,U6,5234,LBD,KZN,,0,320,1939,3316
25,G9,329,SHJ,KZN,,0,320,579,3316
26,HY,5281,TAS,KZN,,0,320,842,3316
27,YK,1943,OSS,KZN,,0,146,797,3316
28,7J,9531,AER,DYU,,0,735,1138,244
29,S7,4329,CEK,DYU,,0,319,716,244
30,U6,5234,CEK,DYU,,0,320,716,244
31,7J,9531,DME,DYU,,0,752,353,244
32,SZ,10122,DME,DYU,,0,737,353,244
33,SZ,10122,KZN,DYU,,0,737,3316,244
34,U6,5234,KZN,DYU,,0,320,3316,244
35,7J,9531,LED,DYU,,0,735,2913,244
36,SU,130,LED,DYU,,0,320,2913,244
37,SZ,10122,LED,DYU,,0,737,2913,244
38,U6,5234,LED,DYU,,0,320,2913,244
39,U6,5234,MRV,DYU,,0,320,3318,244
